name,symbol,isin,asset_class,instrument_type,provider,whitelist
UTI Liquid Fund - Regular Plan - Monthly IDCW,102011,INF789F01PI9,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Liquid Fund - Regular Plan - Quarterly IDCW,135721,INF789FA1J25,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI-  Liquid Cash Plan - Direct Plan - Growth Option,120304,INF789F01XQ6,MUTUAL_FUND,DEBT,UTI AMC,TRUE
UTI-  Liquid Cash Plan - Regular Plan - Growth Option,102012,INF789F01PH1,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option,102008,INF789F01BC2,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth,102009,INF789F01BB4,MUTUAL_FUND,DEBT,UTI AMC,FALSE
WhiteOak Capital Liquid Fund- Direct plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145966,INF03VN01027,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Direct plan-Growth Option,145971,INF03VN01043,MUTUAL_FUND,DEBT,WhiteOak AMC,TRUE
WhiteOak Capital Liquid Fund- Direct plan-Monthly  Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145967,INF03VN01050,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Direct plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145970,INF03VN01076,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Regular plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145965,INF03VN01100,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Regular plan-Growth Option,145968,INF03VN01126,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Regular plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145972,INF03VN01134,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
WhiteOak Capital Liquid Fund- Regular plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW),145964,INF03VN01159,MUTUAL_FUND,DEBT,WhiteOak AMC,FALSE
Aditya Birla Sun Life Long Duration Fund-Direct Growth,150484,INF209KB17J2,MUTUAL_FUND,DEBT,ABSL AMC,TRUE
Aditya Birla Sun Life Long Duration Fund-Direct IDCW Payout,150485,INF209KB18J0,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Aditya Birla Sun Life Long Duration Fund-Regular Growth,150482,INF209KB14J9,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Aditya Birla Sun Life Long Duration Fund-Regular IDCW Payout,150483,INF209KB15J6,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Axis Long Duration Fund - Direct Plan - Annual IDCW,151205,INF846K017M4,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Direct Plan - Growth,151179,INF846K014L3,MUTUAL_FUND,DEBT,Axis AMC,TRUE
Axis Long Duration Fund - Direct Plan - Monthly IDCW,151202,INF846K019L2,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Direct Plan - Quarterly IDCW,151204,INF846K013M3,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Regular Plan - Annual IDCW,151206,INF846K016M6,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Regular Plan - Growth,151178,INF846K015L0,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Regular Plan - Monthly IDCW,151201,INF846K018L4,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Long Duration Fund - Regular Plan - Quarterly IDCW,151203,INF846K012M5,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Bandhan Long Duration Fund - Direct Plan - Growth,152520,INF194KB1HY2,MUTUAL_FUND,DEBT,Bandhan AMC,TRUE
Bandhan Long Duration Fund - Direct Plan - IDCW,152519,INF194KB1HZ9,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
Bandhan Long Duration Fund - Regular Plan - Growth,152518,INF194KB1HV8,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
Bandhan Long Duration Fund - Regular Plan - IDCW,152517,INF194KB1HW6,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
Franklin India Long Duration Fund - Direct - Growth,153102,INF090I01XY7,MUTUAL_FUND,DEBT,Franklin AMC,TRUE
Franklin India Long Duration Fund - Direct - IDCW,153103,INF090I01YA5,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Long Duration Fund - Growth,153104,INF090I01XV3,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Long Duration Fund - IDCW,153101,INF090I01XX9,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
HDFC Long Duration Debt Fund - Growth Option,151314,INF179KC1EW1,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Long Duration Debt Fund - Growth Option - Direct Plan,151313,INF179KC1ET7,MUTUAL_FUND,DEBT,HDFC AMC,TRUE
HDFC Long Duration Debt Fund - IDCW Option,151311,INF179KC1EX9,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Long Duration Debt Fund - IDCW Option - Direct Plan,151312,INF179KC1EU5,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
ICICI Prudential Long Term Bond Fund - Annual IDCW,131623,INF109KA11C4,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Bonus,122673,INF109KA1335,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,120743,INF109K017L8,MUTUAL_FUND,DEBT,ICICI Pru AMC,TRUE
ICICI Prudential Long Term Bond Fund - Direct Plan - Half Yearly IDCW,120748,INF109K018L6,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Direct Plan - Quarterly IDCW,120747,INF109K010M1,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Growth,100365,INF109K01365,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,100364,INF109K01EX3,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Quarterly IDCW,100367,INF109K01EZ8,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund Direct Plan - Annual IDCW,131622,INF109KA13C0,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,100366,INF109K01EY1,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly,101642,INF109K01EW5,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,101643,INF109K01407,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
Kotak Long Duration Fund - Direct Plan - Growth,152491,INF174KA1RF5,MUTUAL_FUND,DEBT,Kotak AMC,TRUE
Kotak Long Duration Fund - Direct Plan - IDCW,152492,INF174KA1RG3,MUTUAL_FUND,DEBT,Kotak AMC,FALSE
Kotak Long Duration Fund - Regular Plan - Growth,152489,INF174KA1RC2,MUTUAL_FUND,DEBT,Kotak AMC,FALSE
Kotak Long Duration Fund - Regular Plan - IDCW,152490,INF174KA1RD0,MUTUAL_FUND,DEBT,Kotak AMC,FALSE
Mirae Asset Long Duration Fund - Direct Plan - Growth,153105,INF769K01NC9,MUTUAL_FUND,DEBT,Mirae Asset AMC,TRUE
Mirae Asset Long Duration Fund - Direct Plan - IDCW,153106,INF769K01ND7,MUTUAL_FUND,DEBT,Mirae Asset AMC,FALSE
Mirae Asset Long Duration Fund - Regular Plan - Growth,153107,INF769K01MZ2,MUTUAL_FUND,DEBT,Mirae Asset AMC,FALSE
Mirae Asset Long Duration Fund - Regular Plan - IDCW,153108,INF769K01NA3,MUTUAL_FUND,DEBT,Mirae Asset AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION  FUND - DIRECT Plan - QUARTERLY IDCW Option,143709,INF204KB1YV1,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - ANNUAL IDCW Option,143703,INF204KB1ZK1,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - ANNUAL IDCW Option,143711,INF204KB1YZ2,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - HALF YEARLY IDCW Option,143701,INF204KB1YX7,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - IDCW Option,143707,INF204KB1YR9,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - MONTHLY IDCW Option,143705,INF204KB1YT5,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - IDCW Option,143706,INF204KB1ZC8,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - MONTHLY IDCW Option,143712,INF204KB1ZE4,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - QUARTERLY IDCW Option,143708,INF204KB1ZG9,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND LONG DURATION - HALF YEARLY IDCW Option,143710,INF204KB1ZI5,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option,143704,INF204KB1YQ1,MUTUAL_FUND,DEBT,Nippon India AMC,TRUE
Nippon India Nivesh Lakshya Long Duration Fund- Growth Option,143702,INF204KB1ZB0,MUTUAL_FUND,DEBT,Nippon India AMC,FALSE
SBI Long Duration Fund - Direct Plan - Growth,151214,INF200KA16T4,MUTUAL_FUND,DEBT,SBI AMC,TRUE
SBI Long Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),151215,INF200KA17T2,MUTUAL_FUND,DEBT,SBI AMC,FALSE
SBI Long Duration Fund - Regular Plan - Growth,151212,INF200KA13T1,MUTUAL_FUND,DEBT,SBI AMC,FALSE
SBI Long Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),151213,INF200KA14T9,MUTUAL_FUND,DEBT,SBI AMC,FALSE
UTI Long Duration Fund - Direct Plan - Annual IDCW Option,151525,INF789F1AYG4,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Direct Plan - Flexi IDCW Option,151526,INF789F1AYI0,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Direct Plan - Growth Option,151523,INF789F1AYB5,MUTUAL_FUND,DEBT,UTI AMC,TRUE
UTI Long Duration Fund - Direct Plan - Half Yearly IDCW Option,151530,INF789F1AYE9,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long duration Fund - Direct Plan - Quarterly IDCW Option,151524,INF789F1AYC3,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Regular Plan - Annual IDCW Option,151531,INF789F1AXX1,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Regular Plan - Flexi IDCW Option,151532,INF789F1AXZ6,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Regular Plan - Growth Option,151527,INF789F1AXS1,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Regular Plan - Half Yearly IDCW Option,151529,INF789F1AXV5,MUTUAL_FUND,DEBT,UTI AMC,FALSE
UTI Long Duration Fund - Regular Plan - Quarterly IDCW Option,151528,INF789F1AXT9,MUTUAL_FUND,DEBT,UTI AMC,FALSE
Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan,119523,INF209K01XU7,MUTUAL_FUND,DEBT,ABSL AMC,TRUE
Aditya Birla Sun Life Low Duration Fund - Growth Plan,103192,INF209K01LQ0,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Aditya Birla Sun Life Low Duration Fund - Institutional Plan - Growth,103195,INF209K01KE8,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Aditya Birla Sun Life Low Duration Fund -Direct - daily IDCW,119524,INF209K01XW3,MUTUAL_FUND,DEBT,ABSL AMC,FALSE
Axis Treasury Advantage Fund - Direct Plan - Bonus Option,128961,INF846K01NQ5,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Direct Plan - Growth Option,120513,INF846K01EN1,MUTUAL_FUND,DEBT,Axis AMC,TRUE
Axis Treasury Advantage Fund - Direct Plan - Monthly IDCW,120516,INF846K01EO9,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Direct Plan - Weekly IDCW,120514,INF846K01ER2,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Regular Plan - Growth Option,112214,INF846K01537,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Regular Plan - Monthly IDCW,112217,INF846K01578,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Regular Plan - Weekly IDCW,112216,INF846K01552,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Retail Plan - Growth Option,112717,INF846K01479,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Retail Plan - Monthly IDCW,112718,INF846K01511,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Axis Treasury Advantage Fund - Retail Plan - Weekly IDCW,112719,INF846K01495,MUTUAL_FUND,DEBT,Axis AMC,FALSE
Bajaj Finserv Low Duration Fund - Direct - Growth,154204,INF0QA701CF6,MUTUAL_FUND,DEBT,Bajaj AMC,TRUE
Bajaj Finserv Low Duration Fund - Direct - IDCW,154202,INF0QA701CG4,MUTUAL_FUND,DEBT,Bajaj AMC,FALSE
Bajaj Finserv Low Duration Fund - Regular - Growth,154203,INF0QA701CC3,MUTUAL_FUND,DEBT,Bajaj AMC,FALSE
Bajaj Finserv Low Duration Fund - Regular - IDCW,154201,INF0QA701CD1,MUTUAL_FUND,DEBT,Bajaj AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Daily IDCW,108633,INF194K01FW4,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Growth,108632,INF194K01FU8,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW,108635,INF194K01FZ7,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Periodic IDCW,116020,INF194K01I29,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Quarterly IDCW,116413,INF194K01UR3,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW,108634,INF194K01GC4,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund-Direct Plan-Growth,118371,INF194K01J77,MUTUAL_FUND,DEBT,Bandhan AMC,TRUE
BANDHAN Low Duration Fund-Direct Plan-Monthly IDCW,118372,INF194K01K17,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund-Direct Plan-Periodic IDCW,118370,INF194K01K82,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BANDHAN Low Duration Fund-Direct Plan-Quarterly IDCW,118369,INF194K01K58,MUTUAL_FUND,DEBT,Bandhan AMC,FALSE
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Growth Option,150169,INF251K01GJ7,MUTUAL_FUND,DEBT,Baroda AMC,TRUE
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Monthly IDCW Option,150170,INF251K01GN9,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Weekly IDCW Option,150171,INF251K01GL3,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - GROWTH OPTION,150165,INF251K01DQ9,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - MONTHLY IDCW OPTION,150167,INF251K01DU1,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION FUND - Regular Plan - WEEKLY IDCW OPTION,150166,INF251K01DS5,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan-Growth Option,150160,INF251K01DL0,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
BARODA BNP PARIBAS LOW DURATION Fund-Defunct Plan-Monthly IDCW Option,150162,INF251K01DO4,MUTUAL_FUND,DEBT,Baroda AMC,FALSE
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION,118291,INF760K01ET1,MUTUAL_FUND,DEBT,Canara AMC,TRUE
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),118292,INF760K01EP9,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),118295,INF760K01EN4,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - DIRECT PLAN - WEEKLY IDCW (Payout/Reinvestment),118294,INF760K01ER5,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - GROWTH OPTION,102913,INF760K01795,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),102914,INF760K01779,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),113144,INF760K01AM4,MUTUAL_FUND,DEBT,Canara AMC,FALSE
CANARA ROBECO SAVINGS FUND - REGULAR PLAN - WEEKLY IDCW (Payout/Reinvestment),102915,INF760K01CB3,MUTUAL_FUND,DEBT,Canara AMC,FALSE
DSP Low Duration Fund - Direct Plan - Growth,133925,INF740K013Q1,MUTUAL_FUND,DEBT,DSP AMC,TRUE
DSP Low Duration Fund - Direct Plan - IDCW - Monthly,133928,INF740K014Q9,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Direct Plan - IDCW - Quarterly,133924,INF740K016Q4,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Direct Plan - IDCW - Weekly,133923,INF740KA1OM3,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Regular Plan - Growth,133926,INF740K018P2,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Regular Plan - IDCW - Monthly,133920,INF740K019P0,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Regular Plan - IDCW - Quarterly,133921,INF740K011Q5,MUTUAL_FUND,DEBT,DSP AMC,FALSE
DSP Low Duration Fund - Regular Plan - IDCW - Weekly,133927,INF740KA1OP6,MUTUAL_FUND,DEBT,DSP AMC,FALSE
Edelweiss Low Duration Fund - Direct Plan Growth,153416,INF754K01UP8,MUTUAL_FUND,DEBT,Edelweiss AMC,TRUE
Edelweiss Low Duration Fund - Direct Plan IDCW Payout,153418,INF754K01UQ6,MUTUAL_FUND,DEBT,Edelweiss AMC,FALSE
Edelweiss Low Duration Fund - Regular Plan Growth,153419,INF754K01UT0,MUTUAL_FUND,DEBT,Edelweiss AMC,FALSE
Edelweiss Low Duration Fund - Regular Plan IDCW Payout,153417,INF754K01UU8,MUTUAL_FUND,DEBT,Edelweiss AMC,FALSE
Franklin India Low Duration Fund-Direct-Growth,153368,INF090I01YE7,MUTUAL_FUND,DEBT,Franklin AMC,TRUE
Franklin India Low Duration Fund-Direct-IDCW,153369,INF090I01YG2,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund-Growth,153371,INF090I01YB3,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund-IDCW,153370,INF090I01YD9,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund - Direct - Growth,118530,INF090I01HG7,MUTUAL_FUND,DEBT,Franklin AMC,TRUE
Franklin India Low Duration Fund - Direct - Monthly - IDCW,118528,INF090I01HC6,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund - Direct - Quarterly - IDCW,118529,INF090I01HE2,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund - Growth Plan,113135,INF090I01BU1,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund - Monthly - IDCW,100503,INF090I01BQ9,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund - Quarterly - IDCW,100504,INF090I01BS5,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Quarterly Dividend Plan,147993,INF090I01UC9,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,147989,INF090I01UD7,MUTUAL_FUND,DEBT,Franklin AMC,TRUE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Monthly Dividend Plan,147991,INF090I01UB1,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,147994,INF090I01UA3,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Monthly Dividend Plan,147990,INF090I01TY5,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Quarterly Dividend Plan,147992,INF090I01TZ2,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Monthly - IDCW,147995,INF090I01UE5,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Quarterly - IDCW,147997,INF090I01UF2,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct- Growth Plan,147999,INF090I01UJ4,MUTUAL_FUND,DEBT,Franklin AMC,TRUE
Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,148000,INF090I01UG0,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW,147996,INF090I01UH8,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
Franklin India Low Duration Fund-Direct- Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Quarterly - IDCW,147998,INF090I01UI6,MUTUAL_FUND,DEBT,Franklin AMC,FALSE
HDFC Low Duration  Fund - Direct Plan - Growth,118942,INF179K01VF7,MUTUAL_FUND,DEBT,HDFC AMC,TRUE
HDFC Low Duration  Fund - Direct Plan - Monthly IDCW,118943,INF179K01VG5,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration  Fund - Direct Plan - Weekly IDCW,118944,INF179KC1IS0,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration  Fund - Growth,102452,INF179K01442,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration  Fund - Monthly IDCW,105543,INF179K01459,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration  Fund - Weekly IDCW,102453,INF179K01475,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration Fund- Wholesale Monthly Dividend,105546,INF179K01509,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration Fund- Wholesale Weekly Dividend,105545,INF179K01525,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HDFC Low Duration Fund- Wholesale- Growth,105544,INF179K01491,MUTUAL_FUND,DEBT,HDFC AMC,FALSE
HSBC Low Duration Fund - Direct Annual IDCW,151118,INF917K01VV7,MUTUAL_FUND,DEBT,HSBC AMC,FALSE
HSBC Low Duration Fund - Direct Growth,151117,INF917K01GM7,MUTUAL_FUND,DEBT,HSBC AMC,TRUE
HSBC Low Duration Fund - Direct Monthly IDCW,151116,INF917K01E60,MUTUAL_FUND,DEBT,HSBC AMC,FALSE
HSBC Low Duration Fund - Regular Annual IDCW,151119,INF917K01VX3,MUTUAL_FUND,DEBT,HSBC AMC,FALSE
HSBC Low Duration Fund - Regular Growth,151114,INF677K01452,MUTUAL_FUND,DEBT,HSBC AMC,FALSE
HSBC Low Duration Fund - Regular Monthly IDCW,151115,INF677K01460,MUTUAL_FUND,DEBT,HSBC AMC,FALSE
ICICI Prudential Savings Fund - Bonus,130900,INF109KA1I92,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Daily IDCW,101618,INF109K01738,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Direct Plan - Fortnightly IDCW,122904,INF109K016Y3,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Direct Plan - Growth,120398,INF109K01O82,MUTUAL_FUND,DEBT,ICICI Pru AMC,TRUE
ICICI Prudential Savings Fund - Direct Plan - IDCW Others,120399,INF109K01O90,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Direct Plan - Monthly IDCW,122651,INF109K018Y9,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Direct Plan - Quarterly IDCW,122982,INF109K010Z3,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
ICICI Prudential Savings Fund - Direct Plan - Weekly IDCW,120396,INF109K01P08,MUTUAL_FUND,DEBT,ICICI Pru AMC,FALSE
